year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,Ryan Broekhoff,SG,29,DAL,17,180,13.2,.568,.864,.136,3.0,21.7,12.5,8.3,1.3,1.9,8.8,16.3,,0.2,0.2,0.4,.114,,0.5,0.3,0.8,0.1
2020,Malcolm Brogdon,PG,27,IND,46,1425,17.7,.534,.296,.241,3.1,13.7,8.4,34.7,1.1,0.5,13.7,25.2,,1.9,1.4,3.3,.112,,2.2,-0.6,1.6,1.3
2020,Dillon Brooks,SG,24,MEM,60,1714,11.4,.512,.385,.189,3.6,8.6,6.1,10.3,1.4,1.2,9.7,24.8,,-0.1,1.1,0.9,.026,,-2.6,-1.6,-4.1,-0.9
2020,Bruce Brown,SG,23,DET,56,1572,11.9,.518,.215,.276,4.1,15.1,9.5,19.8,2.0,1.5,16.8,15.9,,0.7,1.4,2.1,.064,,-2.1,0.9,-1.2,0.3
2020,Charlie Brown,SG,22,ATL,10,40,11.1,.472,.474,.263,5.3,5.4,5.4,7.3,2.3,4.2,12.4,25.1,,0.0,0.0,0.0,-0.027,,-1.1,-1.4,-2.5,0.0
2020,Jaylen Brown,SF,23,BOS,49,1667,17.1,.590,.360,.276,3.5,16.6,10.1,10.1,1.6,0.9,11.9,24.7,,2.1,2.3,4.4,.127,,1.1,-0.2,0.9,1.2
2020,Moses Brown,C,20,POR,9,33,6.8,.407,.000,.800,9.5,34.1,21.9,4.1,1.4,2.6,18.2,21.2,,-0.1,0.0,0.0,-0.062,,-8.2,-1.8,-10.0,-0.1
2020,Sterling Brown,SF,24,MIL,41,594,9.5,.482,.518,.171,4.6,19.8,12.7,8.7,1.6,0.9,13.7,16.7,,-0.3,1.2,1.0,.078,,-3.0,0.9,-2.0,0.0
2020,Troy Brown,SG,20,WAS,55,1385,14.2,.539,.281,.219,4.4,19.2,11.5,12.6,2.5,0.3,9.9,17.0,,1.3,0.9,2.2,.075,,-0.7,-0.3,-1.0,0.4
2020,Jalen Brunson,PG,23,DAL,57,1022,15.1,.553,.309,.193,2.3,11.3,6.9,26.9,1.0,0.3,13.6,20.4,,1.7,0.6,2.3,.106,,0.2,-1.1,-0.8,0.3
2020,Thomas Bryant,C,22,WAS,33,801,19.8,.646,.167,.288,8.9,23.4,15.9,12.5,0.6,3.0,12.0,18.6,,2.0,0.4,2.4,.145,,2.0,-1.2,0.8,0.6
2020,Reggie Bullock,SG,28,NYK,25,613,9.8,.499,.500,.090,2.2,8.1,5.0,8.6,2.0,0.2,6.0,16.2,,0.2,0.3,0.5,.042,,-2.6,-0.2,-2.8,-0.1
2020,Trey Burke,PG,27,PHI,25,329,15.4,.545,.299,.142,5.0,6.6,5.8,24.3,1.0,0.3,8.2,19.3,,0.6,0.3,0.9,.132,,0.6,-1.1,-0.5,0.1
2020,Alec Burks,SG,28,TOT,54,1507,15.8,.546,.375,.355,2.7,15.0,8.6,17.2,1.7,1.0,9.4,23.7,,1.7,1.0,2.7,.085,,0.4,-0.7,-0.4,0.6
2020,Alec Burks,SG,28,GSW,48,1390,16.2,.552,.373,.373,2.8,15.3,8.8,17.6,1.7,1.1,9.8,23.8,,1.7,0.9,2.5,.087,,0.7,-0.7,-0.1,0.7
2020,Alec Burks,SG,28,PHI,6,117,11.5,.475,.400,.164,1.9,12.1,7.0,12.9,1.7,0.0,4.8,22.9,,0.0,0.1,0.1,.057,,-2.8,-1.0,-3.7,-0.1
